benchmark,time,runs,noReload,workers,isolation,sites,engine,initialOpsPerStructure,itemsPerStructure,mergeBatchSize,mergeDelta,mergeParallelism,readMode,writeMode,operation,rt,tps,ct,ar,rtP95
micro,60,3,false,1,RC,1,crdv-async,4,25000,1000,1,1,all,async,mapGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,4,25000,1000,1,1,all,async,mapValue,0.000618,437.804,23642,0.000000,0.000904
micro,60,3,false,1,RC,1,crdv-async,4,25000,1000,1,1,all,async,mapClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,4,25000,1000,1,1,all,async,setContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,4,25000,1000,1,1,all,async,mapAdd,0.001662,437.193,23609,0.000000,0.002028
micro,60,3,false,1,RC,1,crdv-async,4,25000,1000,1,1,all,async,setRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,4,25000,1000,1,1,all,async,total,0.001139,874.997,47251,0.000000,0.001941
micro,60,3,false,1,RC,1,crdv-async,4,25000,1000,1,1,all,async,setClear,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,4,25000,1000,1,1,all,async,listGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,4,25000,1000,1,1,all,async,counterInc,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,4,25000,1000,1,1,all,async,setGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,4,25000,1000,1,1,all,async,mapContains,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,4,25000,1000,1,1,all,async,listAppend,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,4,25000,1000,1,1,all,async,registerSet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,4,25000,1000,1,1,all,async,listGetAt,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,4,25000,1000,1,1,all,async,setAdd,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,4,25000,1000,1,1,all,async,counterGet,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,4,25000,1000,1,1,all,async,listRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,4,25000,1000,1,1,all,async,mapRmv,NaN,0.000,0,NaN,NaN
micro,60,3,false,1,RC,1,crdv-async,4,25000,1000,1,1,all,async,listAdd,NaN,0.000,0,NaN,NaN
